_id,Назва поля,Назва поля українською,Опис
1,year,Рік,Число
2,period,Звітний період,"Число, кількість місяців"
3,company_name,Назва суб’єкту господарювання,Текст
4,company_code,Код ЄДРПОУ суб’єкта господарювання,"Текст. Із збереженням початкових нулів, якщо вони є."
5,company_type,Тип суб’єкта господарювання.,Текст. Вибір з варіантів – ДП (державне підприємство) чи “ГП(б50)” (Господарське товариство із державною часткою більше 50%)
6,company_status,Статус роботи підприємства.,"Текст. Комбінація непорожніх клітинок зі стовпчиків is_working, non_working_status_type, add_info набору даних “Загальна інформація про суб’єктів господарювання державного сектору економіки, що належать до сфери управління Міненерговугілля”
Наприклад: “не працює; перебуває у процедурі у ліквідації; АТО”"
7,salary_debt_changes,Заборгованість із виплати заробітної плати - темп зміни,"Число, відсотки без знаку “%”"
8,salary_debt_mark,Заборгованість із виплати заробітної плати - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
9,salary_average_changes,Середньомісячна заробітна плата штатних працівників - темп зміни,"Число, відсотки без знаку “%”"
10,salary_average_mark,Середньомісячна заробітна плата штатних працівників - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
11,financial_outturn_sales_percent,Виконання фінансового плану - чистий дохід (виручка) від реалізації - відсоток виконання,"Число, відсотки без знаку “%”"
12,financial_outturn_sales_mark,Виконання фінансового плану - чистий дохід (виручка) від реалізації - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
13,financial_outturn_profit_percent,Виконання фінансового плану - чистий прибуток (збиток) - відсоток виконання,"Число, відсотки без знаку “%”"
14,financial_outturn_profit_mark,Виконання фінансового плану - чистий прибуток (збиток) - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
15,financial_outturn_revenue_to_budget_percent,Виконання фінансового плану - відрахування частини чистого прибутку до державного бюджету - відсоток виконання,"Число, відсотки без знаку “%”"
16,financial_outturn_revenue_to_budget_mark,Виконання фінансового плану - відрахування частини чистого прибутку до державного бюджету - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
17,financial_outturn_revenue_to_state_shareholder_percent,Виконання фінансового плану - відрахування до фонду на виплату дивідендів - відсоток виконання,"Число, відсотки без знаку “%”"
18,financial_outturn_revenue_to_state_shareholder_mark,Виконання фінансового плану - відрахування до фонду на виплату дивідендів - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
19,financial_outturn_capital_investments_percent,Виконання фінансового плану - капітальні інвестиції - відсоток виконання,"Число, відсотки без знаку “%”"
20,financial_outturn_capital_investments_mark,Виконання фінансового плану - капітальні інвестиції - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
21,profit_changes,Чистий прибуток (збиток) - темп зміни,"Число, відсотки без знаку “%”"
22,profit_mark,Чистий прибуток (збиток) - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
23,covering_coefficient_end,Коефіцієнт покриття - на кінець звітного періоду,Число
24,covering_coefficient_mark,Коефіцієнт покриття - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
25,firmness_coefficient_end,Коефіцієнт фінансової стійкості - на кінець звітного періоду,Число
26,firmness_coefficient_mark,Коефіцієнт фінансової стійкості - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
27,solvency_coefficient_end,Коефіцієнт платоспроможності - на кінець звітного періоду,Число
28,solvency_coefficient_mark,Коефіцієнт платоспроможності - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
29,amortization_end,Ступінь зносу основних засобів - на кінець звітного періоду,Число
30,amortization_mark,Ступінь зносу основних засобів - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
31,audition_result,Аудиторський висновок - результати,Текст
32,audition_mark,Аудиторський висновок - кількість балів,"Число. Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
33,total_mark,Сума набраних балів,Число
34,final_assessment,Оцінка фінансово-господарської діяльності,"Текст. Вибір з вартіантів: ""ефективна"", ""задовільна"", ""неефективна"". Відповідно до методики, затвердженої наказом Мінекономрозвитку № 253 від 15.03.2013."
